rank,field,predicate,threshold,count,windows,avg_forward_return,lift_vs_all,status,reason_code,rationale
1,gap_bucket,gap_bucket==4-5%,4-5%,4,"{""late_strong"": 3, ""mid_weak"": 1}",0.252843,1.680132,disabled,too_close_to_rejected_global_gap_threshold_family,exp-20260428-021 already exhausted global gap threshold scans; do not start Phase B with gap magnitude alone.
2,gap_abs_pct,gap_abs_pct>=median,0.035977,10,"{""late_strong"": 6, ""mid_weak"": 2, ""old_thin"": 2}",0.200366,1.331424,disabled,too_close_to_rejected_global_gap_threshold_family,exp-20260428-021 already exhausted global gap threshold scans; do not start Phase B with gap magnitude alone.
3,gap_bucket,gap_bucket==>5%,>5%,5,"{""late_strong"": 3, ""mid_weak"": 1, ""old_thin"": 1}",0.193118,1.283261,disabled,too_close_to_rejected_global_gap_threshold_family,exp-20260428-021 already exhausted global gap threshold scans; do not start Phase B with gap magnitude alone.
4,bbwidth20,bbwidth20>=median,0.269211,10,"{""late_strong"": 4, ""mid_weak"": 2, ""old_thin"": 4}",0.192611,1.279892,primary_phase_b_candidate,orthogonal_volatility_expansion_discriminator,"100% PIT-safe coverage, spans all three windows, not a sector/strategy/regime/rank/TQS or gap-threshold exception."
5,volume_vs_20d_avg,volume_vs_20d_avg<median,3.263312,10,"{""late_strong"": 7, ""mid_weak"": 1, ""old_thin"": 2}",0.191908,1.275221,secondary_candidate,orthogonal_but_direction_needs_care,"The observed split is lower-than-median volume, not the intuitive high-volume confirmation hypothesis."
6,sector_5d_rs,sector_5d_rs>=median,0.13675,10,"{""late_strong"": 4, ""mid_weak"": 2, ""old_thin"": 4}",0.185176,1.230487,secondary_candidate,allowed_axis_but_not_first,"Five-day relative strength is not the rejected 20-day sector conditional, but it adds benchmark/basket complexity."
7,atr14_t_over_t20,atr14_t_over_t20>=median,1.30055,10,"{""late_strong"": 4, ""mid_weak"": 2, ""old_thin"": 4}",0.178984,1.189341,tertiary_candidate,orthogonal_but_weaker_lift,"Covered and PIT-safe, but weaker than bbwidth20 in the Phase A ranking."
8,recent_8k_severity_5d,recent_8k_severity_5d<median,1.0,10,"{""late_strong"": 6, ""mid_weak"": 2, ""old_thin"": 2}",0.167509,1.113091,deferred,semantic_direction_not_actionable_yet,"The current split rewards lower severity, which is not a clean event-confirmation bypass policy."
9,recent_8k_count_5d,recent_8k_count_5d<median,0.5,10,"{""late_strong"": 6, ""mid_weak"": 2, ""old_thin"": 2}",0.167509,1.113091,deferred,semantic_direction_not_actionable_yet,"The current split rewards lower severity, which is not a clean event-confirmation bypass policy."
10,form4_net_buy_usd_5d,form4_net_buy_usd_5d>=median,0.0,15,"{""late_strong"": 6, ""mid_weak"": 3, ""old_thin"": 6}",0.164823,1.095242,deferred,not_selected_for_first_phase_b,Does not dominate the simpler bbwidth20 preregistered candidate.
11,gap_bucket,gap_bucket==1.5-2%,1.5-2%,2,"{""mid_weak"": 1, ""old_thin"": 1}",0.161959,1.076211,disabled,too_close_to_rejected_global_gap_threshold_family,exp-20260428-021 already exhausted global gap threshold scans; do not start Phase B with gap magnitude alone.
12,form4_buy_5d,form4_buy_5d>=median,0.0,20,"{""late_strong"": 9, ""mid_weak"": 5, ""old_thin"": 6}",0.15049,1.0,deferred,not_selected_for_first_phase_b,Does not dominate the simpler bbwidth20 preregistered candidate.
13,news_t1_count_3d,news_t1_count_3d>=median,2.0,1,"{""late_strong"": 1}",0.117141,0.778397,deferred,insufficient_news_archive_coverage,News archive coverage is 5%; below the 80% Phase B preflight requirement.
14,news_t2_count_3d,news_t2_count_3d>=median,0.0,1,"{""late_strong"": 1}",0.117141,0.778397,deferred,insufficient_news_archive_coverage,News archive coverage is 5%; below the 80% Phase B preflight requirement.
15,news_t1t2_count_3d,news_t1t2_count_3d>=median,2.0,1,"{""late_strong"": 1}",0.117141,0.778397,deferred,insufficient_news_archive_coverage,News archive coverage is 5%; below the 80% Phase B preflight requirement.
16,news_pos_count_3d,news_pos_count_3d>=median,0.0,1,"{""late_strong"": 1}",0.117141,0.778397,deferred,insufficient_news_archive_coverage,News archive coverage is 5%; below the 80% Phase B preflight requirement.
17,news_neg_count_3d,news_neg_count_3d>=median,0.0,1,"{""late_strong"": 1}",0.117141,0.778397,deferred,insufficient_news_archive_coverage,News archive coverage is 5%; below the 80% Phase B preflight requirement.
18,recent_8k_severity_5d,recent_8k_severity_5d>=median,1.0,10,"{""late_strong"": 3, ""mid_weak"": 3, ""old_thin"": 4}",0.13347,0.886903,deferred,semantic_direction_not_actionable_yet,"The current split rewards lower severity, which is not a clean event-confirmation bypass policy."
19,recent_8k_count_5d,recent_8k_count_5d>=median,0.5,10,"{""late_strong"": 3, ""mid_weak"": 3, ""old_thin"": 4}",0.13347,0.886903,deferred,semantic_direction_not_actionable_yet,"The current split rewards lower severity, which is not a clean event-confirmation bypass policy."
20,atr14_t_over_t20,atr14_t_over_t20<median,1.30055,10,"{""late_strong"": 5, ""mid_weak"": 3, ""old_thin"": 2}",0.121995,0.810652,tertiary_candidate,orthogonal_but_weaker_lift,"Covered and PIT-safe, but weaker than bbwidth20 in the Phase A ranking."
21,sector_5d_rs,sector_5d_rs<median,0.13675,10,"{""late_strong"": 5, ""mid_weak"": 3, ""old_thin"": 2}",0.115803,0.769506,secondary_candidate,allowed_axis_but_not_first,"Five-day relative strength is not the rejected 20-day sector conditional, but it adds benchmark/basket complexity."
22,volume_vs_20d_avg,volume_vs_20d_avg>=median,3.263312,10,"{""late_strong"": 2, ""mid_weak"": 4, ""old_thin"": 4}",0.109071,0.724772,secondary_candidate,orthogonal_but_direction_needs_care,"The observed split is lower-than-median volume, not the intuitive high-volume confirmation hypothesis."
